"Item","Nome","Código","Município","Código dos municípios","Instituição","Macrorregião","Latitude","Longitude","Altitude","Variáveis coletadas","data_inicial","data","data_final","ativo","frequencia","Tipo","Fornecedor","Modelo_do_sensor: radiação","Modelo_do_sensor: dir_vel_vento","modelo_do_sensor: temp_umidade","modelo_do_sensor: pressão","modelo_do_sensor: pluv","modelo_do_sensor: temp_solo","modelo_do_sensor: fluxo calor solo","modelo_do_sensor: umidade_solo","Datalogger","Bateria","Controlador de carga","modelo_do_sensor: supressor de transiente","Tipo da torre","Painel solar","Comunicação","Área","manutencao","n_patrimonio","financiamento"
,"Itapipoca (INCRA) ",4713,"Itapipoca",2306405,"FUNCEME","Litoral do Pecem","-3.163141","-39.526693","SI","100, 54, 52, 51, ","2014 - 8",,"2015 - ","não","1h","Meteorológica","Hobeco","CMP6","Windsonic Gill TIPO 1","HMP 110 Vaisala","BARO-1QML","TB4",,,,"QML201","12V, 26Ah","Morningstar sun saver 10","Clamper series 900 e 800","Ferro galvanizado 10m","20 Watts","V1001200 OMNISAT",,,3851,
,"JAGUARUANA",23,"Jaguaruana",2307007,"FUNCEME","Jaguaribana","-4.84472222","-37.75666667","SI","31, 50, 39, 22, 51, 21, 18, 19, 14, 6, 2","2006 - 01",,"2014 -","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Agro ","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell","107L Campbell","HFP01-10 Hukseflux","CS615 Campbell","CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3836,
,"JATI",52,"Jati",2307205,"FUNCEME","Cariri","-7.72333333","-38.89527778","SI","31, 50, 39, 22, 51, 21, 14, 19, 6,2","2006 - 01",,"2009 -","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Agro","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell","107L Campbell","HFP01-10 Hukseflux","CS615 Campbell","CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3846,
,"JUCAS",68,"Jucas",2307403,"FUNCEME","Cariri","-6.53611111","-39.53527778","SI","21, 31, 6, 2, 14, 22","2008 - 06",,"2008 - 06","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Agro","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell","107L Campbell","HFP01-10 Hukseflux","CS615 Campbell","CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3847,
,"LAVRAS DA MANGABEIRA ",53,"Lavras da Mangabeira",2307502,"FUNCEME","Cariri","-6.88888889","-39.0850000","SI","50, 51, 31, 39, 22, 21, 19, 18, 14, 6, 2","2017 - 05","data com 1969","2020 - ","sim","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,,,,,,,,,,,,,,,,,,,,
,"Limoeiro do Norte",35742,"Limoeiro do Norte",2307601,"FUNCEME","Jaguaribana","-5.191334","-37.937417","SI","31, 30, 50, 6, 4, 3, 54, 21, 14, 22, 51, 2","2020 - 09",,"2020 - 11","sim","1 h",,,,,,,,,,,,,,,,,,,,,
,"Maranguape",956,"Maranguape",2307700,"FUNCEME","Litoral de Fortaleza","-3.87913889","-38.67672222","SI","100, 22, 17, 31, 50, 39, 22, 51, 21, 19, 18, 14, 6, 2","2014 - 04",,"2021 -","não","15 min","Meteorológica","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell",,,,"CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3840,
,"MAURITI",64,"Mauriti",2308104,"FUNCEME","Cariri","-7.43611111","-38.78805556","SI","50, 39, 51, 31, 22, 21, 18, 14, 19, 6, 2","2016 - 11",,"2020 -","sim","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,,,,,,,,,,,,,,,,,,,,
,"MERUOCA",34,"Meruoca",2308203,"FUNCEME","Litoral Norte","-3.54222222","-40.49972222","SI","50, 39, 51, 31, 22, 21, 18, 14, 19, 6, 2","2006 - 01",,"2014 -","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Agro","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell","107L Campbell","HFP01-10 Hukseflux","CS615 Campbell","CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3826,
,"Milagres",1217,"Milagres",2308302,"FUNCEME","Cariri","-7.31156111","-38.9506888","SI","100, 22, 17","2015 - ",,"2020 -","sim","15 min",,,,,,,,,,,,,,,,,,,,,
